NORAD ID,REFERENCE ALTITUDE EPOCH,REFERENCE ALTITUDE (KM),REFERENCE TLE 1,REFERENCE TLE 2,PREDICTION EPOCH,PREDICTION ALTITUDE (KM),LAST TLE LINE 1,LAST TLE LINE 2,ESTIMATED REENTRY EPOCH,ESTIMATED REENTRY ALTITUDE (KM),MIN DST
44244,2020-08-16 06:00:02+00:00,280,1 44244U 19029K   20229.25002315  .00829853  32533-3  17417-2 0  9998,2 44244  52.9968 276.1219 0001414  43.0774  95.3389 15.98400146 68438,2020-08-29 19:00:02+00:00,99.68175,1 44244U 19029K   20287.12291165  .47180237  12426-4  22139-2 0  9995,2 44244  52.9708 332.0356 0003711 120.7278 242.0157 16.43170483 77756"}],2020-10-13 08:57:00+00:00,99.2796015625,-39.0
44243,2020-09-16 22:00:01+00:00,280,1 44243U 19029J   20260.91667824  .01185453  70777-3  25572-2 0  9992,2 44243  52.9977  10.5028 0004274 281.1721  91.8696 15.97973667 74957,2020-09-26 12:00:01+00:00,96.2326015625,1 44243U 19029J   20287.71504568  .11982673  12791-4  10982-3 0  9997,2 44243  52.9786 228.8138 0008105 330.1078  31.0927 16.50981164 79283"}],2020-10-14 08:09:40+00:00,99.2958984375,-60.0
44271,2020-08-15 22:00:01+00:00,280,1 44271U 19029AN  20228.91667824  .00829302  32215-3  17969-2 0  9990,2 44271  52.9963 277.1639 0001872  33.1299 328.2981 15.97827747 68424,2020-08-29 16:00:01+00:00,97.0999375,1 44271U 19029AN  20288.57092606  .06839568  12140-4  13629-2 0  9994,2 44271  52.9879 323.6967 0003539  53.2438  81.7998 16.30723255 78035"}],2020-10-17 03:42:08+00:00,98.463078125,-39.0
44263,2020-08-15 22:00:01+00:00,279,1 44263U 19029AE  20228.91667824  .00829188  32206-3  17967-2 0  9991,2 44263  52.9973 277.8021 0001735  36.9212 336.4828 15.97827785 68403,2020-08-29 16:00:01+00:00,96.78896875,1 44263U 19029AE  20289.47516335  .12398314  12643-4  16439-3 0  9992,2 44263  52.9820 318.7786 0003330 292.8532  67.5533 16.49183723 78173"}],2020-10-16 03:24:14+00:00,98.2149609375,-39.0
44276,2020-10-13 15:55:10+00:00,280,1 44276U 19029AT  20287.66330787  .00582210  15495-3  13023-2 0  9999,2 44276  52.9989 353.3298 0005116  39.3997 320.6858 15.97219969 77557,2020-11-02 12:55:10+00:00,98.4642578125,1 44276U 19029AT  20295.06608775  .10298997  12247-4  15821-2 0  9995,2 44276  52.9911 314.6487 0006998  54.3360 308.5648 16.33268807 78742"}],2020-10-22 14:35:10+00:00,98.161375,-41.0
45055,2020-10-15 14:13:23+00:00,279,1 45055U 20006M   20289.59262952 +.00758787 +27009-3 +15775-2 0  9998,2 45055 053.0002 048.1973 0002184 254.0118 106.0715 15.98558090040935,2020-10-30 12:13:23+00:00,96.04946875,1 45055U 20006M   20296.49030385 +.20278884 +12343-4 +21521-2 0  9997,2 45055 052.9816 012.0612 0003896 359.6359 000.6034 16.36784646042044"}],2020-10-23 05:46:02+00:00,92.268859375,-41.0
46670,2020-10-23 15:15:18+00:00,244,1 46670U 20073A   20297.63562273  .02448881  86801-2  20592-2 0  9999,2 46670  53.0466  84.3410 0012222 328.4594 142.0852 16.14998943  2067,2020-10-26 18:15:18+00:00,99.0895625,1 46670U 20073A   20298.85060006  .10787455  12210-4  26642-2 0  9990,2 46670  53.0515  77.8706 0011864 337.4012  22.6738 16.28223676  2260"}],2020-10-26 12:24:52+00:00,94.8605078125,-45.0
46778,2020-11-03 07:06:54+00:00,244,1 46778U 20074AR  20308.29646207  .00786710  34862-3  82961-3 0  9998,2 46778  53.0462 113.3109 0009803 314.3878  45.6352 16.09663978  2020,2020-11-15 12:06:54+00:00,95.004390625,1 46778U 20074AR  20311.51092487  .22766354  12436-4  20389-2 0  9997,2 46778  53.0237  96.2674 0009929 317.8245  47.8190 16.38091090  2544"}],2020-11-07 03:15:44+00:00,93.66715625,-45.0
46750,2020-11-03 11:31:15+00:00,238,1 46750U 20074M   20308.48002901  .01257533  10480-2  11972-2 0  9995,2 46750  53.0462 112.3142 0009966 321.1931  38.8387 16.11359475  2054,2020-11-10 21:31:15+00:00,91.8501484375,1 46750U 20074M   20311.44497441  .27626385  12576-4  14304-2 0  9997,2 46750  53.0425  96.5756 0011441 329.5575  36.9847 16.41727675  2531"}],2020-11-06 22:40:46+00:00,88.786796875,-45.0
44960,2020-10-11 06:58:25+00:00,280,1 44960U 20001AY  20285.29056887  .00102000  15508-4  22215-3 0  9999,2 44960  52.9985 133.1932 0001655  72.1628 287.9581 15.98190483 43250,2021-01-26 21:58:25+00:00,99.84809375,1 44960U 20001AY  20314.52248600 +.11152622 +12127-4 +19755-2 0  9999,2 44960 052.9869 341.1938 0001129 151.1455 208.9650 16.31946065047943"}],2020-11-10 23:32:23+00:00,99.0151015625,-41.0
